Year,County,Income_Indices,Income_Per_Person_euro
2022,Leitrim,79.05174658,26836.23992
2022,Monaghan,81.27832613,27827.12727
2022,Sligo,85.73809771,29274.56823
2022,Galway,88.10865625,30002.27924
2022,Mayo,78.90284813,26878.47813
2022,Roscommon,79.06314223,26910.91276
2022,Dublin,124.7395497,42897.09787
2022,Kildare,107.9827492,37036.60036
2022,Meath,99.25315299,33886.17519
2022,Wicklow,103.615481,35612.62919
2022,Louth,86.78810301,29590.24176
2022,Laois,68.42199939,23108.97958
2022,Longford,65.57338224,22162.92753
2022,Offaly,68.80738676,23361.95003
2022,Westmeath,72.3833965,24528.80511
2022,Clare,88.4861132,30195.61114
2022,Limerick,112.3993301,38725.94025
2022,Tipperary,80.78816925,27476.91837
2022,Carlow,87.10758111,29751.86096
2022,Kilkenny,87.00175162,29751.23231
2022,Waterford,89.38157145,30553.90754
2022,Wexford,80.61627576,27390.54271
2022,Cork,102.8365769,35251.26718
2022,Kerry,85.74791394,29388.97673
