Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
11/11/2016,"CULCOMMON, BATTERSTOWN, MEATH",,Meath,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
6/2/2015,"28 CHURCH AVE, OFF ROMAN ST, CORK",,Cork,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2019,"BALLYDONNELL, REDCROSS, WICKLOW",,Wicklow,"€287,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/6/2013,"4 Riverdrive, Castledrum, Castlemaine",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
4/11/2019,"6 TARA LAWNS, KINNEGAD, WESTMEATH",,Westmeath,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2019,"THE SQUARE, NEWPORT, TIPPERARY",,Tipperary,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2012,"No. 18 The Beeches, Louisburgh",,Mayo,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
3/2/2012,"6 Bolbrook Close, Tallaght",,Dublin,"€63,250.00",Yes,No,Second-Hand Dwelling house /Apartment,
24/09/2013,"4 SUMMER HILL VILLAS, UPPER STRAND, YOUGHAL",,Cork,"€48,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/5/2010,"104 Millpark, Clondalkin",Dublin 22,Dublin,"€17,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/06/2018,"84 KILTERAGH, DOORADOYLE, LIMERICK",,Limerick,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"67 ST JOHNS ST, ENNISCORTHY, WEXFORD",,Wexford,"€16,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2010,"Curraghmore, Ballinrobe",,Mayo,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
6/2/2014,"36 FEALE DR, LISTOWEL, KERRY",,Kerry,"€44,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2012,"11  The Nurseries, Delgany",,Wicklow,"€647,500.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
15/04/2015,"B6 EDWARD COURT, EDWARD ST, TRALEE",,Kerry,"€59,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2014,"CLONSAST, BRACKNAGH, RATHANGAN",,Kildare,"€59,500.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2010,"Ballyferriter Old Post Office, Ballyferriter",,Kerry,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
6/3/2020,"225 CLONLIFFE RD, DRUMCONDRA, DUBLIN 3",Dublin 3,Dublin,"€510,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2012,"Reenacappal, Durrus, Bantry",,Cork,"€194,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/05/2015,"13 RATHMORE VILLAGE, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,"€230,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/10/2015,"2 Ashwood Drive, Ashbourne",,Meath,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2018,"10 ARDOVAN HALL, HAZELBROOK SQUARE, CHURCHTOWN",Dublin 14,Dublin,"€322,153.12",No,No,Second-Hand Dwelling house /Apartment,
5/4/2019,"LEMONAGHAN, BALLYCUMBER, OFFALY",,Offaly,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
