Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"28 SHANDON COURT, UPPER YELLOW ROAD, CO WATERFORD",,Waterford,97000.0,No,No,Second-Hand Dwelling house /Apartment,,16,7,2020,2020-07-16
"CAHERBARNA, LISCANNOR, CLARE",,Clare,215000.0,No,No,Second-Hand Dwelling house /Apartment,,20,11,2020,2020-11-20
"BOLINGBROKE, DOLLA, NENAGH",,Tipperary,95000.0,No,No,Second-Hand Dwelling house /Apartment,,11,10,2021,2021-10-11
"18 KILMURRY COURT, GARRYOWEN, LIMERICK",,Limerick,128000.0,No,No,Second-Hand Dwelling house /Apartment,,11,12,2020,2020-12-11
"ARD, GEASHILL, OFFALY",,Offaly,230000.0,No,No,Second-Hand Dwelling house /Apartment,,19,5,2016,2016-05-19
"11 BIRCH GROVE, ARD NA SIDHE, CLONMEL",,Tipperary,160000.0,No,No,Second-Hand Dwelling house /Apartment,,25,9,2015,2015-09-25
"3 GILFORD PINES, GILFORD RD, SANDYMOUNT DUBLIN 4",Dublin 4,Dublin,417500.0,No,No,Second-Hand Dwelling house /Apartment,,19,9,2014,2014-09-19
"Cashel, Tubbercurry",,Sligo,30000.0,No,No,Second-Hand Dwelling house /Apartment,,21,10,2013,2013-10-21
"31 Drury Mills, Saggart, Co. Dublin",,Dublin,282750.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,30,6,2016,2016-06-30
"APT 43, MILLRACE RD, PHOENIX PARK DUBLIN 15",Dublin 15,Dublin,365000.0,No,No,Second-Hand Dwelling house /Apartment,,15,10,2020,2020-10-15
"3 CRAWFORD COURT, MOVILLE, DONEGAL",,Donegal,38500.0,No,No,Second-Hand Dwelling house /Apartment,,21,6,2018,2018-06-21
"20 BALLYROAN RD, DUBLIN 16, DUBLIN",Dublin 16,Dublin,575000.0,No,No,Second-Hand Dwelling house /Apartment,,12,7,2017,2017-07-12
"156 THE HAVEN, JACOBS ISLAND, MAHON",,Cork,320000.0,No,No,Second-Hand Dwelling house /Apartment,,4,8,2021,2021-08-04
"2 Cedar Lawn, The Cedars, Ridgewood  Swords",,Dublin,180616.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,24,5,2012,2012-05-24
"12 ELDER HEATH DOWNS, ELDER HEATH, KILTIPPER ROAD",,Dublin,237885.46,No,Yes,New Dwelling house /Apartment,,8,3,2019,2019-03-08
"7 BEECHBROOK PARK, DELGANY, WICKLOW",,Wicklow,325000.0,No,No,Second-Hand Dwelling house /Apartment,,1,7,2016,2016-07-01
"160 CLUAIN AIRNE, SHANNON, CO. CLARE",,Clare,90000.0,No,No,Second-Hand Dwelling house /Apartment,,7,1,2016,2016-01-07
"152 THE COMMONS, DULEEK, MEATH",,Meath,130000.0,No,No,Second-Hand Dwelling house /Apartment,,21,2,2020,2020-02-21
"EAST FERRY LODGE, EAST FERRY, MIDLETON",,Cork,1215000.0,No,No,Second-Hand Dwelling house /Apartment,,31,7,2015,2015-07-31
"14 ASHFIELD RD, RANELAGH, DUBLIN 6",Dublin 6,Dublin,1200000.0,No,No,Second-Hand Dwelling house /Apartment,,31,1,2019,2019-01-31
"10 WOODLAWN PARK, CHURCHTOWN, DUBLIN 14",Dublin 14,Dublin,770000.0,No,No,Second-Hand Dwelling house /Apartment,,10,5,2016,2016-05-10
"6 Mulberry Close, Ballinode",,Sligo,205000.0,No,No,Second-Hand Dwelling house /Apartment,,16,7,2010,2010-07-16
"Horewood, New Street, Buttevant",,Cork,62000.0,No,No,Second-Hand Dwelling house /Apartment,,29,2,2016,2016-02-29
"Apt 47 Block B Clares Court, Main Street/Church Street",,Cavan,11630.0,No,No,Second-Hand Dwelling house /Apartment,,7,3,2014,2014-03-07
"APT 5, BLOCK 1 ANNALY GROVE, ONGAR LODGE",Dublin 15,Dublin,179000.0,No,No,Second-Hand Dwelling house /Apartment,,2,9,2019,2019-09-02
"GORTBRACK, OWER, HEADFORD",,Galway,180000.0,No,No,Second-Hand Dwelling house /Apartment,,18,11,2021,2021-11-18
"10 DEERHAVEN VIEW, CLONEE, DUBLIN 15",Dublin 15,Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,,13,10,2020,2020-10-13
"ARDGEEHA, CASHEL RD, CLONMEL",,Tipperary,187000.0,Yes,No,Second-Hand Dwelling house /Apartment,,20,1,2016,2016-01-20
"JAMESTOWN HOUSE, ENNISKERRY RD, KILTERNAN DUBLIN 18",Dublin 18,Dublin,1475000.0,No,No,Second-Hand Dwelling house /Apartment,,4,5,2018,2018-05-04
"KILLAHORNIA, CREAGH, BALLINASLOE",,Roscommon,30000.0,No,No,Second-Hand Dwelling house /Apartment,,17,8,2020,2020-08-17
