Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"MAIN ST, KILLENAULE, THURLES",,Tipperary,14000.0,No,No,Second-Hand Dwelling house /Apartment,,24,6,2015,2015-06-24
"3 BLOCK E HAWTHORN, DRUMGEELY, SHANNON",,Clare,14354.16,No,No,Second-Hand Dwelling house /Apartment,,29,7,2016,2016-07-29
"45 GLEN COURT, EMLY, TIPPERARY",,Tipperary,15000.0,No,No,Second-Hand Dwelling house /Apartment,,19,12,2019,2019-12-19
"MOUNT DELVIN, CLOONFAD, COUNTY ROSCOMMON",,Roscommon,15000.0,No,No,Second-Hand Dwelling house /Apartment,,15,6,2021,2021-06-15
"BREASHWYANTEEAN, KINCON, BALLINA",,Mayo,15000.0,No,No,Second-Hand Dwelling house /Apartment,,9,6,2014,2014-06-09
"Kiltoghert, Carrick on shannon",,Leitrim,15000.0,No,No,Second-Hand Dwelling house /Apartment,,9,8,2011,2011-08-09
"LISMANANAGH, POLES, CO. CAVAN",,Cavan,15000.0,No,No,Second-Hand Dwelling house /Apartment,,7,7,2020,2020-07-07
"3 CASTLE VIEW, BALLINTUBBER, CO ROSCOMMON",,Roscommon,15000.0,No,No,Second-Hand Dwelling house /Apartment,,16,3,2018,2018-03-16
"BELMONT, CLOGHANS HILL, TUAM",,Galway,15000.0,No,No,Second-Hand Dwelling house /Apartment,,12,12,2018,2018-12-12
"BEHY, BOYLE, COUNTY ROSCOMMON",,Roscommon,15000.0,No,No,Second-Hand Dwelling house /Apartment,,7,12,2020,2020-12-07
"5 CLUAIN BUI, CARRICK ON SHANNON, CO. LEITRIM",,Leitrim,15000.0,No,No,Second-Hand Dwelling house /Apartment,,29,11,2018,2018-11-29
"BALLYGOLOGUE RD, LISTOWEL, KERRY",,Kerry,15493.0,Yes,No,Second-Hand Dwelling house /Apartment,,19,12,2016,2016-12-19
"Fortwilliam, Ardfert",,Kerry,15500.0,No,No,Second-Hand Dwelling house /Apartment,,2,10,2013,2013-10-02
"40 RAILWAY LOUGH, BELTURBET, CO. CAVAN",,Cavan,15750.0,No,No,Second-Hand Dwelling house /Apartment,,23,11,2016,2016-11-23
"28 Willowbrook Retirement Village, Mocklershill",,Tipperary,15857.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2017,2017-12-20
"APARTMENT OVER PAULINES SHOP, CHAPEL STREET, KILTIMAGH",,Mayo,16000.0,No,No,Second-Hand Dwelling house /Apartment,,31,3,2016,2016-03-31
"APT 58 BLOCK C WESTEND GATE, COOKSTOWN WAY, TALLAGHT",,Dublin,16000.0,Yes,No,Second-Hand Dwelling house /Apartment,,29,10,2015,2015-10-29
"MULLAC NA SI, BISHOPS STREET, BALLYSHANNON",,Donegal,16240.0,Yes,No,Second-Hand Dwelling house /Apartment,,1,2,2016,2016-02-01
"67 ST JOHNS ST, ENNISCORTHY, WEXFORD",,Wexford,16500.0,No,No,Second-Hand Dwelling house /Apartment,,18,12,2020,2020-12-18
"4A ST BRIDGETS TERRAACE, THURLES, TIPPERARY",,Tipperary,16666.66,No,No,Second-Hand Dwelling house /Apartment,,26,6,2020,2020-06-26
"WEST END, KILFINNANR, CO LIMERICK",,Limerick,17000.0,No,No,Second-Hand Dwelling house /Apartment,,14,5,2015,2015-05-14
"104 Millpark, Clondalkin",Dublin 22,Dublin,17000.0,Yes,No,Second-Hand Dwelling house /Apartment,,10,5,2010,2010-05-10
"APT 10 BURRIN ARCADE, BURRIN ST, CARLOW",,Carlow,17083.0,No,No,Second-Hand Dwelling house /Apartment,,15,7,2015,2015-07-15
"RABOWS, CLONES, CO MONAGHAN",,Monaghan,17500.0,No,No,Second-Hand Dwelling house /Apartment,,10,12,2014,2014-12-10
"6 SILVEROE DRIVE, BOYLE, CO ROSCOMMON",,Roscommon,17500.0,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,22,11,2017,2017-11-22
"DERRY NA SLIEVE, KILMACKRANNY, VIA BOYLE",,Sligo,17500.0,Yes,No,Second-Hand Dwelling house /Apartment,,14,10,2013,2013-10-14
"60 SHANNON VALLEY, SLIGO ROAD, BALLAGHADERREEN",,Roscommon,18000.0,No,No,Second-Hand Dwelling house /Apartment,,27,11,2017,2017-11-27
"28 CHARLESLAND COURT, GREYSTONES, WICKLOW",,Wicklow,18000.0,Yes,No,Second-Hand Dwelling house /Apartment,,29,1,2016,2016-01-29
"1 NEWBRIDGE STREET, BIRR, CO. OFFALY",,Offaly,18000.0,Yes,No,Second-Hand Dwelling house /Apartment,,4,8,2016,2016-08-04
"CAHERLANE, ABBEYFEALE, CO LIMERICK",,Limerick,18000.0,No,No,Second-Hand Dwelling house /Apartment,,29,7,2014,2014-07-29
"DERRYGOLAGH, CLOONLOO, BOYLE",,Roscommon,18000.0,No,No,Second-Hand Dwelling house /Apartment,,20,3,2020,2020-03-20
"61 CATHAL BRUGHA PLACE, DUNGARVAN, CO. WATERFORD",,Waterford,18000.0,No,No,Second-Hand Dwelling house /Apartment,,16,1,2014,2014-01-16
"Broomhill, Mitchelstown",,Cork,18875.0,No,No,Second-Hand Dwelling house /Apartment,,8,4,2013,2013-04-08
"Kilmore, Clondra",,Longford,19000.0,No,No,Second-Hand Dwelling house /Apartment,,19,4,2013,2013-04-19
"42 Westside Apartments, Lr Main Street, letterkenny",,Donegal,20000.0,No,No,Second-Hand Dwelling house /Apartment,,12,7,2012,2012-07-12
"COILBEE, LISTOWEL, COUNTY KERRY",,Kerry,20000.0,No,No,Second-Hand Dwelling house /Apartment,,14,12,2016,2016-12-14
"Pound Street, Carndonagh",,Donegal,20000.0,Yes,No,Second-Hand Dwelling house /Apartment,,26,9,2015,2015-09-26
"3 TIVOLI HEIGHTS, SILVERSPRINGS, CLONMEL",,Tipperary,20000.0,Yes,No,Second-Hand Dwelling house /Apartment,,3,10,2017,2017-10-03
"THE COACHOUSE, 288 BANNOW RD, CABRA",Dublin 7,Dublin,20000.0,No,No,Second-Hand Dwelling house /Apartment,,14,5,2014,2014-05-14
"Brackloon, Doocastle",,Mayo,20000.0,No,No,Second-Hand Dwelling house /Apartment,,13,8,2013,2013-08-13
"ABBEY ST, LOUGHREA, GALWAY",,Galway,20000.0,No,No,Second-Hand Dwelling house /Apartment,,10,8,2016,2016-08-10
"APT 2 OLD STONE HOUSE, CASTLEREA ROAD, BALLINLOUGH",,Roscommon,20000.0,No,No,Second-Hand Dwelling house /Apartment,,8,9,2015,2015-09-08
"23 THE SQUARE, HIGHFIELD PARK, BALLINCOLLIG",,Cork,20000.0,Yes,No,Second-Hand Dwelling house /Apartment,,29,9,2017,2017-09-29
